LocationId,Project,Country,State,City,Neighbourhood,WeekStartDate,WeekNumber,Day,FaireeId,remaining_avail,Slots_less_than_1hr,Slots_1hr_to_2hr,Slots_more_than_2hr,bookable_hours,utilisation_index,non,effective_bookable_hours,effective_remaining_hours,effective_Slots_less_than_1hr,effective_Slots_1hr_to_2hr,effective_Slots_more_than_2hr
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,TUESDAY,137,3.0,2,1,0,8.0000000000000000,0.12500000000000000000,1,1.00,0.38,0.25,0.13,0.00
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,FRIDAY,73,1.0,2,0,0,8.0000000000000000,0.85714285714285714286,1,6.86,0.86,1.71,0.00,0.00
17,River Place,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,WEDNESDAY,63,3.5,4,0,0,8.0000000000000000,0.12500000000000000000,1,1.00,0.44,0.50,0.00,0.00
122,Flamingo Point North Tower,US,FL,Miami Beach,Miami Beach Polygon,2026-08-02,4,TUESDAY,118,0.5,1,0,0,8.0000000000000000,0.92307692307692307692,1,7.38,0.46,0.92,0.00,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,FRIDAY,118,1.0,1,0,0,8.0000000000000000,0.45454545454545454545,1,3.64,0.45,0.45,0.00,0.00
111,Brooklyn Crossing,US,NY,Brooklyn,Boerum Hill Polygon,2026-08-16,2,MONDAY,96,6.0,0,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,6.00,0.00,0.00,1.00
75,The Devan,US,NJ,Jersey City,Hoboken Polygon,2026-08-09,1,MONDAY,139,1.5,2,0,0,8.0000000000000000,0.05555555555555555556,1,0.44,0.08,0.11,0.00,0.00
95,416 Kent Avenue,US,NY,Brooklyn,Williamsburg Polygon,2026-08-09,1,THURSDAY,90,5.5,2,0,1,8.0000000000000000,0.80000000000000000000,1,6.40,4.40,1.60,0.00,0.80
75,The Devan,US,NJ,Jersey City,Hoboken Polygon,2026-07-26,3,FRIDAY,139,1.0,2,0,0,8.0000000000000000,0.50000000000000000000,1,4.00,0.50,1.00,0.00,0.00
75,The Devan,US,NJ,Jersey City,Hoboken Polygon,2026-08-09,1,FRIDAY,139,3.0,1,0,1,8.0000000000000000,0.33333333333333333333,1,2.67,1.00,0.33,0.00,0.33
195,Flow Brickell,US,FL,Miami,Flow Brickell Polygon,2026-08-02,4,WEDNESDAY,149,5.5,0,0,2,8.0000000000000000,1.00000000000000000000,1,8.00,5.50,0.00,0.00,2.00
104,Midtown 5,US,FL,Miami,Midtown 5,2026-08-02,4,MONDAY,146,2.5,0,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,2.50,0.00,0.00,1.00
54,Nine 52,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,TUESDAY,73,1.0,1,0,0,8.0000000000000000,0.83333333333333333333,1,6.67,0.83,0.83,0.00,0.00
111,Brooklyn Crossing,US,NY,Brooklyn,Boerum Hill Polygon,2026-08-16,2,FRIDAY,96,6.5,0,1,1,8.0000000000000000,1.00000000000000000000,1,8.00,6.50,0.00,1.00,1.00
140,Southgate Towers,US,FL,Miami Beach,Miami Beach Polygon,2026-07-26,3,WEDNESDAY,110,3.0,0,0,1,8.0000000000000000,0.25000000000000000000,1,2.00,0.75,0.00,0.00,0.25
